,Momenta 1,Momenta 2,Eta 1,Eta 2,Phi 1,Phi 2
313,101.316,90.991,0.047,-0.964,0.001,-3.016
314,138.442,128.746,0.346,0.621,2.73,-0.432
315,102.609,102.597,0.812,2.221,2.771,-0.721
316,160.96,50.272,0.588,1.565,2.467,-0.993
317,176.833,94.567,-1.381,-1.826,2.193,-0.489
318,101.6,88.824,-1.635,-2.416,1.865,-1.24
319,107.8,102.659,-1.372,1.181,-2.292,0.5
320,116.671,88.419,-0.684,-2.288,-0.623,1.723
321,96.8,93.01,2.48,0.898,-0.849,2.392
322,33.042,22.043,-1.733,1.966,-2.095,1.693
323,136.916,64.243,-0.545,0.138,-2.777,1.039
324,99.931,81.684,0.14,0.474,-1.589,1.412
325,133.942,133.377,-0.143,0.247,-1.705,1.386
326,97.469,92.263,0.226,1.022,2.258,-0.951
327,108.713,83.205,-0.903,0.563,2.736,-0.789
328,125.041,102.11,0.852,2.104,0.401,-2.727
329,96.947,91.645,-0.338,0.283,1.569,-1.545
330,89.147,77.899,1.161,2.141,-0.258,2.908
331,53.211,49.342,-1.354,1.214,-2.887,1.126
332,117.47,82.045,-0.638,-0.553,-1.947,0.988
333,124.493,117.158,0.591,0.374,2.063,-1.009
334,91.649,84.555,0.072,-0.531,-0.617,2.563
335,83.739,81.695,-0.766,-0.088,-0.192,3.031
336,168.576,50.105,0.162,0.943,2.219,-1.137
337,119.755,87.541,-1.148,-0.892,-2.744,0.194
338,135.312,59.868,-0.133,-1.029,-1.732,2.422
339,125.911,123.398,1.161,0.084,-1.67,1.05
340,385.199,175.88,-0.63,0.214,-3.015,0.488
341,85.772,84.095,-1.945,-1.045,1.842,-1.333
342,143.79,110.853,-0.123,-0.909,-1.884,1.401
343,142.955,51.38,0.28,0.848,1.458,-1.411
344,100.156,94.62,-0.199,-1.026,1.404,-1.627
345,129.308,122.258,-0.371,-0.56,-0.799,2.269
346,82.952,82.371,1.596,0.735,1.047,-1.966
347,72.717,70.613,0.473,2.355,0.803,-2.292
348,120.294,118.902,-0.238,0.987,2.081,-1.036
349,126.6,105.864,-0.629,1.099,3.092,0.241
350,140.918,81.063,-0.003,2.265,2.446,0.285
351,128.259,122.238,-1.235,-0.244,-0.418,2.764
352,81.294,73.687,-0.224,1.384,-1.939,1.271
353,249.079,52.83,-1.304,0.23,-0.394,-1.787
354,156.83,75.683,-0.046,0.577,1.861,-0.024
355,100.009,52.737,-2.037,-0.254,0.975,-2.437
356,102.061,97.509,0.199,0.543,-0.643,2.363
357,71.54,63.819,1.71,-0.061,-0.462,2.772
358,91.303,90.205,0.147,-0.549,3.098,-0.173
359,71.264,67.744,1.061,-0.931,-1.243,1.666
360,62.455,37.63,-1.892,0.957,-2.817,0.004
361,110.583,72.756,0.239,0.968,0.791,-2.481
362,47.578,46.596,2.47,-0.054,2.39,-0.755
363,112.315,88.588,1.361,2.216,1.946,-1.145
364,111.208,79.88,-1.171,-2.266,-1.578,1.136
365,145.267,141.722,0.92,1.03,0.957,-2.15
366,84.3,75.48,-1.024,0.977,2.656,-0.187
367,99.193,93.758,-0.946,-1.856,1.275,-1.788
368,71.292,62.91,2.296,0.387,1.503,-1.646
369,98.724,92.532,1.738,1.309,-2.828,0.401
370,148.507,99.18,0.398,-1.014,2.756,0.126
371,81.004,79.02,0.615,1.906,2.26,-0.947
372,61.377,51.547,1.197,-1.129,2.902,-0.118
373,106.644,97.897,-0.741,-0.509,1.831,-1.438
374,94.734,69.638,2.267,0.946,2.843,0.199
