,Momenta,Eta,Phi
289,"[189.445, 152.922]","[0.108, 1.23]","[-2.516, 0.739]"
290,"[215.213, 149.631]","[-0.728, 0.26]","[-2.864, 0.39]"
291,"[108.326, 105.524]","[-1.492, 1.004]","[-0.994, 2.339]"
292,"[382.065, 92.908]","[-1.053, -0.76]","[-1.434, 1.746]"
293,"[173.102, 168.934]","[1.706, 0.601]","[1.991, -1.099]"
294,"[241.529, 156.291]","[0.282, 0.377]","[-2.781, 0.919]"
295,"[220.63, 149.027]","[-1.281, -2.316]","[2.954, -0.516]"
296,"[167.831, 130.343]","[2.433, 0.593]","[-1.161, 3.058]"
297,"[193.053, 155.412]","[2.023, 0.79]","[3.011, -0.007]"
298,"[224.13, 173.634]","[0.373, -0.095]","[-1.806, 1.338]"
299,"[208.814, 153.392]","[-0.836, -0.096]","[1.346, -1.913]"
300,"[280.205, 242.277]","[-0.261, 0.051]","[2.32, -2.256]"
301,"[215.861, 188.967]","[1.176, 1.495]","[-2.674, 0.724]"
302,"[209.415, 74.974]","[1.116, -0.948]","[-0.803, 2.274]"
303,"[315.504, 134.49]","[0.203, 0.56]","[-2.56, 0.837]"
304,"[191.492, 184.899]","[0.087, 0.812]","[0.336, -2.487]"
305,"[204.822, 184.556]","[-1.712, -2.271]","[-2.835, 0.551]"
306,"[221.033, 164.827]","[0.236, 1.053]","[2.253, -0.46]"
307,"[407.606, 370.637]","[-0.914, -1.766]","[1.279, -1.709]"
308,"[157.939, 129.364]","[0.775, -0.865]","[-0.905, 2.77]"
309,"[220.599, 181.288]","[-0.055, 0.413]","[-2.803, 0.928]"
310,"[147.054, 143.142]","[-1.534, 0.115]","[0.272, -3.006]"
311,"[82.246, 80.472]","[1.908, -1.44]","[0.771, -0.56]"
312,"[210.952, 178.66]","[-0.351, 0.365]","[-0.33, 2.986]"
313,"[281.062, 115.804]","[1.464, 0.458]","[-2.967, 0.552]"
314,"[166.374, 148.212]","[-1.255, 0.199]","[-0.841, 2.161]"
315,"[237.678, 133.171]","[-0.644, 0.171]","[-1.401, 2.203]"
316,"[205.296, 194.045]","[-0.56, -0.365]","[-2.399, 0.726]"
317,"[209.165, 192.288]","[-0.482, 0.044]","[-2.315, 0.881]"
318,"[174.133, 157.187]","[-0.482, 0.883]","[-2.748, 0.152]"
319,"[162.908, 119.939]","[-0.491, -2.317]","[-0.476, 2.574]"
320,"[239.002, 205.405]","[-0.247, -0.311]","[2.22, -0.879]"
321,"[247.511, 134.764]","[-0.146, -1.071]","[-2.267, 0.838]"
322,"[215.911, 190.775]","[-1.146, -1.25]","[-1.659, 1.188]"
323,"[192.784, 191.194]","[-1.205, -1.83]","[-0.322, 2.836]"
324,"[258.338, 146.812]","[-1.253, -1.23]","[-2.577, 0.758]"
325,"[260.836, 151.41]","[-0.677, -1.416]","[0.103, 2.588]"
326,"[220.486, 178.088]","[0.1, -0.178]","[0.218, -3.052]"
327,"[188.188, 121.787]","[-0.439, 1.248]","[0.773, -1.772]"
328,"[1194.531, 381.578]","[0.395, 0.947]","[2.201, 2.37]"
329,"[195.414, 181.878]","[0.612, 0.023]","[2.482, -0.611]"
