,Momenta,Eta,Phi
226,"[468.621, 455.004]","[0.114, -0.257]","[-2.656, 0.48]"
227,"[652.579, 641.802]","[-0.616, -1.087]","[-2.002, 1.008]"
228,"[487.949, 428.309]","[1.469, 0.903]","[-1.867, 1.166]"
229,"[488.598, 442.631]","[-1.494, -1.361]","[1.951, -1.178]"
230,"[570.552, 506.8]","[-1.243, -0.528]","[-1.953, 1.212]"
231,"[494.295, 378.487]","[-1.067, -0.675]","[2.883, -0.076]"
232,"[548.041, 439.916]","[-1.087, 0.389]","[-2.313, 1.157]"
233,"[426.702, 421.464]","[1.013, -0.827]","[-2.721, 0.341]"
234,"[917.283, 896.371]","[0.346, -0.056]","[0.348, -2.795]"
235,"[558.192, 557.181]","[0.79, 1.538]","[-1.904, 1.245]"
236,"[445.041, 444.981]","[1.058, -0.123]","[1.655, -1.608]"
237,"[447.158, 437.781]","[0.169, -0.457]","[-1.983, 1.238]"
238,"[636.256, 632.338]","[-0.821, 0.255]","[-2.252, 0.878]"
239,"[472.776, 459.251]","[-1.517, -1.271]","[-3.002, 0.154]"
240,"[536.436, 423.667]","[1.434, 1.559]","[2.123, -0.85]"
241,"[457.9, 418.779]","[2.214, 1.027]","[0.991, -2.1]"
242,"[472.308, 401.197]","[0.627, -0.628]","[1.359, -1.703]"
243,"[721.495, 678.266]","[-0.009, -1.343]","[-1.251, 1.934]"
244,"[256.019, 242.451]","[2.025, -0.939]","[-2.957, 0.242]"
245,"[468.276, 171.203]","[-1.023, -0.959]","[-2.377, 1.536]"
246,"[387.949, 279.902]","[-1.129, 1.228]","[2.322, -0.792]"
247,"[419.831, 388.915]","[0.756, -0.307]","[2.484, -0.512]"
248,"[478.697, 461.876]","[0.7, 0.574]","[-0.947, 2.155]"
249,"[959.143, 922.898]","[0.247, -0.085]","[-1.038, 2.114]"
250,"[564.282, 526.124]","[0.32, 1.513]","[-2.569, 0.541]"
251,"[433.867, 384.751]","[-0.321, 0.708]","[1.839, -1.487]"
252,"[445.221, 434.773]","[0.534, -1.054]","[0.858, -2.204]"
253,"[618.978, 408.38]","[-1.097, -1.355]","[2.32, -0.743]"
254,"[308.401, 306.585]","[-0.468, -2.416]","[-1.635, 1.541]"
255,"[465.472, 458.925]","[0.874, 1.113]","[1.87, -1.274]"
256,"[410.315, 380.273]","[-1.084, 0.204]","[-2.572, 0.59]"
257,"[825.929, 485.543]","[-0.723, -0.071]","[-2.08, 1.494]"
258,"[528.873, 514.391]","[1.118, 0.82]","[3.08, -0.072]"
259,"[425.196, 415.096]","[0.622, -0.595]","[0.536, -2.921]"
260,"[267.737, 264.673]","[1.987, -0.49]","[-2.763, 0.398]"
261,"[840.181, 746.283]","[0.035, 0.97]","[2.409, -0.643]"
262,"[447.869, 414.245]","[0.213, 1.604]","[2.816, -0.102]"
263,"[465.546, 343.163]","[-0.546, -1.89]","[-1.519, 1.207]"
264,"[690.59, 633.964]","[-0.076, -1.647]","[0.734, -2.383]"
265,"[418.007, 394.745]","[0.052, 1.765]","[1.209, -2.042]"
266,"[463.818, 388.081]","[0.482, 1.422]","[-2.091, 1.185]"
267,"[616.727, 585.636]","[0.309, 1.945]","[-2.841, 0.316]"
268,"[882.19, 832.522]","[-0.531, 1.384]","[3.131, -0.014]"
269,"[562.861, 548.656]","[-0.332, 0.208]","[-2.389, 0.711]"
270,"[381.104, 377.15]","[0.808, -1.049]","[0.564, -2.554]"
271,"[216.932, 180.696]","[1.825, -1.606]","[0.779, -2.19]"
272,"[762.36, 693.217]","[-1.191, -0.848]","[1.469, -1.661]"
273,"[232.28, 230.13]","[0.897, -2.117]","[-0.295, 2.844]"
274,"[476.436, 457.83]","[-0.568, -1.035]","[-0.183, 2.976]"
275,"[278.444, 276.673]","[2.116, -0.04]","[-2.695, 0.44]"
276,"[681.18, 648.278]","[-1.88, 0.401]","[-1.663, 1.539]"
277,"[687.373, 668.888]","[-0.858, -1.221]","[-1.987, 1.153]"
278,"[934.215, 858.689]","[0.252, 0.941]","[-0.56, 2.551]"
279,"[529.137, 423.153]","[-1.008, 2.197]","[1.576, -2.083]"
280,"[436.652, 429.861]","[0.273, 1.042]","[2.159, -0.993]"
281,"[522.106, 506.626]","[-0.659, -0.816]","[-3.085, 0.073]"
282,"[168.187, 159.306]","[1.006, -2.424]","[-2.31, 0.558]"
283,"[484.456, 361.669]","[1.311, 0.154]","[1.212, -1.967]"
284,"[431.031, 331.112]","[-0.21, -2.107]","[-1.016, 2.141]"
285,"[560.699, 446.023]","[0.47, -0.376]","[-0.915, 1.927]"
286,"[614.099, 506.756]","[1.204, 0.641]","[0.632, -2.656]"
287,"[681.976, 636.614]","[-0.218, 0.06]","[0.809, -2.351]"
288,"[431.01, 337.506]","[0.278, -0.969]","[-1.071, 2.2]"
289,"[636.222, 486.809]","[0.634, -0.075]","[-0.73, 2.497]"
290,"[468.307, 453.931]","[-0.113, -0.231]","[0.348, -2.836]"
291,"[388.222, 370.702]","[-0.629, 0.627]","[2.81, -0.372]"
292,"[508.57, 409.705]","[-0.869, -0.919]","[-0.281, 2.673]"
293,"[1016.7, 252.2]","[0.192, 0.672]","[3.096, -1.118]"
294,"[593.886, 430.38]","[1.174, 0.401]","[0.269, -3.108]"
295,"[466.848, 463.048]","[0.882, 0.449]","[-1.81, 1.144]"
296,"[362.879, 332.37]","[-0.165, 1.974]","[-1.021, 1.922]"
297,"[385.568, 344.178]","[-1.239, 0.167]","[2.44, -0.601]"
298,"[501.767, 476.722]","[0.215, 0.357]","[2.399, -0.768]"
299,"[467.533, 397.931]","[0.263, -1.349]","[0.451, -2.386]"
300,"[366.519, 360.179]","[-0.134, -1.574]","[0.668, -2.478]"
301,"[410.477, 311.429]","[1.029, -0.55]","[0.332, -2.823]"
302,"[450.123, 405.01]","[-1.856, -0.887]","[0.838, -2.334]"
303,"[487.528, 386.469]","[1.459, 0.603]","[-2.621, 0.196]"
304,"[446.285, 439.213]","[1.554, 0.664]","[-1.457, 1.685]"
305,"[821.855, 695.372]","[0.004, -0.399]","[0.5, 2.894]"
306,"[385.329, 316.066]","[-0.743, 0.959]","[2.26, -1.073]"
307,"[511.414, 431.552]","[0.757, -0.085]","[-0.432, 2.686]"
308,"[641.957, 639.903]","[-0.616, 0.063]","[1.389, -1.754]"
309,"[598.708, 544.69]","[-0.949, -0.09]","[-2.352, 0.652]"
310,"[586.562, 568.613]","[-1.519, -1.177]","[1.034, -2.11]"
311,"[233.889, 223.058]","[1.906, -0.797]","[1.639, -1.75]"
312,"[268.268, 248.089]","[1.94, -0.301]","[-2.834, 0.286]"
313,"[472.395, 417.736]","[-1.052, 0.273]","[-1.659, 1.097]"
314,"[212.564, 197.244]","[1.029, -1.869]","[-1.281, 1.871]"
315,"[799.139, 772.162]","[-0.695, -1.235]","[1.731, -1.424]"
316,"[471.209, 438.422]","[-0.142, 0.437]","[-2.667, 0.461]"
317,"[305.727, 254.58]","[1.181, -0.862]","[-2.436, 0.619]"
318,"[958.576, 954.67]","[0.935, -0.694]","[0.946, -2.19]"
319,"[331.774, 286.282]","[1.988, -0.122]","[-2.879, 0.388]"
320,"[1488.515, 1370.559]","[-1.135, -0.485]","[1.612, -1.551]"
321,"[448.3, 423.791]","[-0.341, -1.215]","[1.991, -1.178]"
322,"[499.09, 446.367]","[-0.759, -0.795]","[1.319, -1.919]"
323,"[406.508, 344.69]","[-1.098, 0.347]","[-0.673, 2.571]"
324,"[544.64, 470.995]","[0.5, -0.525]","[2.397, -0.678]"
325,"[549.396, 366.084]","[-0.887, -0.788]","[2.497, -0.958]"
326,"[256.498, 231.592]","[-1.978, 0.577]","[-2.821, 0.32]"
327,"[649.592, 613.205]","[-0.109, -1.064]","[0.725, -2.314]"
328,"[558.417, 474.686]","[0.459, 2.155]","[-0.001, 3.071]"
329,"[411.917, 392.402]","[-1.174, 0.378]","[-1.29, 1.838]"
330,"[439.948, 392.834]","[0.409, 2.023]","[-2.298, 0.799]"
