,Momenta 1,Momenta 2,Eta 1,Eta 2,Phi 1,Phi 2
464,295.173,276.863,-0.211,-1.367,-1.826,1.328
465,530.043,514.731,-1.776,-0.371,2.315,-0.787
466,242.872,240.201,-0.624,1.0,-1.08,2.05
467,497.799,457.985,-0.578,-0.74,-2.741,0.34
468,381.069,291.804,-0.891,0.076,0.605,-2.632
469,394.366,281.111,-1.308,-1.123,1.221,-1.756
470,247.761,221.68,0.085,-1.987,0.431,-2.897
471,343.957,326.645,0.735,0.817,2.368,-0.666
472,605.431,322.786,-0.782,-1.139,-2.672,0.215
473,144.184,120.815,0.457,0.389,0.479,-2.453
474,239.79,234.92,0.408,-1.898,-0.147,2.981
475,199.049,149.126,1.67,-1.039,-2.526,0.578
476,292.748,175.467,0.393,-1.638,-1.396,1.758
477,453.965,438.477,-1.081,0.144,0.886,-2.23
478,357.932,238.323,0.07,-1.207,-0.574,2.579
479,379.007,375.52,1.387,1.623,0.064,-3.07
480,582.376,505.611,-0.075,1.45,0.871,-2.368
481,304.286,300.011,-0.592,0.589,-2.37,0.855
482,313.563,313.095,-0.185,-0.934,-0.504,2.66
483,483.755,480.631,0.948,2.156,-2.296,0.789
484,355.203,339.429,2.181,1.298,2.417,-0.719
485,270.721,242.311,0.639,-0.798,2.045,-1.12
486,335.363,320.657,-1.828,-0.347,2.912,-0.405
487,324.997,310.9,0.228,-0.746,2.471,0.127
488,501.545,496.092,-0.367,-0.479,-2.372,0.872
489,487.544,400.123,-0.507,0.416,-3.079,0.112
490,402.559,365.627,-0.017,1.598,-1.481,1.65
491,362.619,359.214,1.115,1.633,-2.834,0.281
492,454.38,445.267,0.256,-1.377,-0.99,2.092
493,401.423,391.492,-0.2,-0.836,2.602,-0.537
