,Momenta 1,Momenta 2,Eta 1,Eta 2,Phi 1,Phi 2
401,566.896,196.477,-0.355,-1.36,-1.574,1.781
402,450.593,321.742,-0.803,-0.514,2.308,-1.207
403,416.432,338.986,-0.288,-0.555,1.882,-0.941
404,366.441,304.165,-0.445,0.677,1.915,-0.779
405,454.781,288.615,-0.729,-1.266,-2.642,0.628
406,478.951,61.277,-0.712,-1.099,-1.459,1.706
407,286.196,273.257,1.053,-0.542,-2.308,0.909
408,247.802,247.206,-0.695,1.212,-1.668,1.458
409,320.136,316.982,-2.205,-1.039,2.564,-0.526
410,1062.462,174.091,-1.249,-0.262,1.583,-3.133
411,475.585,175.74,-0.092,1.527,-0.774,3.12
412,494.224,275.275,0.78,1.201,1.955,-1.371
413,341.473,281.078,-0.584,0.725,-2.246,0.75
414,467.393,296.712,-0.384,0.186,-0.316,-2.969
415,363.929,359.493,0.438,-0.036,-0.331,2.81
416,388.694,366.81,0.551,0.637,0.418,-3.058
417,298.483,282.112,-0.418,-2.038,-2.54,0.166
418,548.296,267.598,1.734,0.698,1.119,-1.507
419,314.135,283.772,1.875,0.487,-2.5,0.527
420,511.757,301.272,0.547,0.105,-3.118,-0.447
421,717.016,349.951,0.272,0.38,2.792,1.081
422,385.567,364.428,0.132,0.264,1.338,-1.708
423,382.285,338.663,0.233,-0.301,2.257,-0.818
424,374.365,370.888,-1.757,-1.366,1.329,-1.798
425,360.648,322.57,1.408,0.488,-1.374,1.907
426,487.279,288.372,-0.929,-0.639,-2.849,0.067
427,321.022,312.8,0.72,-0.505,3.07,-0.084
428,213.452,207.635,-0.958,1.344,-2.712,0.438
429,419.662,377.915,-1.432,-0.941,0.059,-2.978
430,408.234,336.803,-0.443,-0.308,-2.735,0.383
431,629.732,429.758,1.366,0.705,1.872,0.496
432,269.275,259.264,-0.497,1.236,2.968,-0.17
433,373.365,268.956,-0.099,0.862,-0.097,2.627
434,301.382,288.879,1.039,-0.422,-1.87,1.191
435,364.866,276.028,0.444,-0.773,2.114,-1.499
